Company, Ticker,Exchange
A Consulting Team, TACX,NASDAQ
A H Belo Corporation, AHC,NYSE
A Mark Precious Metals Inc, AMRK,NASDAQ
A S V, ASVI,NASDAQ
A10 Networks Inc, ATEN,NYSE
A123 Systems, AONE,NASDAQ
A2Z Smart Technologies Corporation, AZ,NASDAQ
Aadi Bioscience Inc, AADI,NASDAQ
AAON Inc, AAON,NASDAQ
AAR Corp, AIR,NYSE
Aarons Holdings Company Inc, AAN,NYSE
Aastrom Biosciences, ASTMD,NASDAQ
AB Volvo, VOLV,NASDAQ
ABB Ltd, ABB,NYSE
Abbott Laboratories, ABT,NYSE
AbbVie Inc, ABBV,NYSE
AbbVie Inc, ABBV,NYSE
AbCellera Biologics Inc, ABCL,NASDAQ
Abeona Therapeutics Inc, ABEO,NASDAQ
Aber Diamond, ABER,NASDAQ
Abercrombie and Fitch Co, ANF,NYSE
Aberdeen Asia Pacific Prime Income Fund, FAX,AMEX
Aberdeen Australia Equity Fund Inc, IAF,AMEX
Aberdeen Emerging Markets Equity Income Fund Inc, AEF,AMEX
Aberdeen Global Dynamic Dividend Fund, AGD,NYSE
Aberdeen Global Income Fund Inc, FCO,AMEX
Aberdeen Global Premier Properties Fund, AWP,NYSE
Aberdeen Income Credit Strategies Fund, ACP,NYSE
Aberdeen Japan Equity Fund Inc, JEQ,NYSE
Aberdeen Standard Global Infrastructure Income Fund, ASGI,NYSE
Aberdeen Total Dynamic Dividend Fund, AOD,NYSE
ABG Acquisition Corporation I, ABGI,NASDAQ
Abgenix, ABGX,NASDAQ
Abigail Adams National Bancorp, AANB,NASDAQ
Ability Inc, ABIL,NASDAQ
Abington Bancorp, ABBC,NASDAQ
Abington Bancorp, ABBCD,NASDAQ
Abington Bancorp, ABBK,NASDAQ
ABIOMED Inc, ABMD,NASDAQ
Able Laboratories, ABRX,NASDAQ
ABM Industries Inc, ABM,NYSE
Abrams Industries, ABRI,NASDAQ
Abraxas Petroleum Corporation, AXAS,NASDAQ
Abraxis Bioscience, ABBI,NASDAQ
Abraxis Bioscience Inc., ABII,NASDAQ
ABRI SPAC I Inc, ASPA,NASDAQ
ABRI SPAC I Inc, ASPAU,NASDAQ
AbSci Corporation, ABSI,NASDAQ
AbSci Corporation, ABSI,NASDAQ
Absolute Software Corporation, ABST,NASDAQ
ABVC BioPharma Inc, ABVC,NASDAQ
Abx Holdings, ABXA,NASDAQ
AC Immune SA, ACIU,NASDAQ
Acacia Communications Inc, ACIA,NASDAQ
Acacia Research Technologies, ACTG,NASDAQ
Academy Sports and Outdoors Inc, ASO,NASDAQ
Acadia Healthcare Company Inc, ACHC,NASDAQ
Acadia Pharmaceuticals Inc, ACAD,NASDAQ
Acadia Realty Trust, AKR,NYSE
Acamar Partners Acquisition Corporation, ACAM,NASDAQ
Acasti Pharma Inc, ACST,NASDAQ
Accel Entertainment Inc, ACEL,NYSE
Accelerate Acquisition Corp, AAQC,NYSE
Accelerate Diagnostics Inc, AXDX,NASDAQ
Accelerated Pharma, ACCP,NASDAQ
Accelerated Pharma Warrant, ACCPW,NASDAQ
Acceleron Pharma Inc, XLRN,NASDAQ
Accelrys, ACCL,NASDAQ
Accenture Plc, ACN,NYSE
Access Anytime Bancorp, AABC,NASDAQ
Access Integrated Technologies, AIXD,NASDAQ
Access National Corp., ANCX,NASDAQ
Access Plans Usa, AUSA,NASDAQ
Accessity - Common Stock, ACTY,NASDAQ
Acclaim Entertainment, AKLM,NASDAQ
Acco Brands Corporation, ACCO,NYSE
Accolade Inc, ACCD,NASDAQ
Accredited Home Lenders(Ipo), LEND,NASDAQ
Accretion Acquisition Corporation, ENER,NASDAQ
Accretion Acquisition Corporation, ENERU,NASDAQ
Accuray Incorporated, ARAY,NASDAQ
Accuride Corp., ACW,NYSE
Ace Cash Express, AACE,NASDAQ
Ace Comm Corp, ACEC,NASDAQ
ACE Convergence Acquisition Corporation, ACEV,NASDAQ
Ace Global Business Acquisition Ltd, ACBA,NASDAQ
Ace Global Business Acquisition Ltd, ACBAU,NASDAQ
AcelRX Pharmaceuticals Inc, ACRX,NASDAQ
Acer Therapeutics Com USD0.01, OPXA,NASDAQ
Acer Therapeutics Inc, ACER,NASDAQ
Acer Therapeutics WT Exp 040918, OPXAW,NASDAQ
Acergy S.A. - Ads Representing One Common Share, ACGY,NASDAQ
Achari Ventures Holdings Corporation I, AVHI,NASDAQ
Achieve Life Sciences Inc, ACHV,NASDAQ
Achillion Pharmaceuticals Inc, ACHN,NASDAQ
ACI Worldwide Inc, ACIW,NASDAQ
Acies Acquisition Corporation, ACAC,NASDAQ
Ackrell SPAC Partners I Company, ACKIT,NASDAQ
Aclara Biosciences, ACLA,NASDAQ
Aclaris Therapeutics Inc, ACRS,NASDAQ
ACM Research Inc, ACMR,NASDAQ
Acme Packet, APKT,NASDAQ
Acme United Corp, ACU,AMEX
ACNB Corporation, ACNB,NASDAQ
ACON S2 Acquisition Corporation, STWO,NASDAQ
Acorda Therapeutics Inc, ACOR,NASDAQ
Acorn Products, ACRN,NASDAQ
ACRES Commercial Realty Corporation, ACR,NYSE
Acropolis Infrastructure Acquisition Corp, ACRO,NYSE
Act II Global Acquisition Corporation, ACTT,NASDAQ
Actinium Pharmaceuticals Inc, ATNM,AMEX
Actions Semiconductor Co., ACTS,NASDAQ
Actividentity Corp, ACTI,NASDAQ
Activision Blizzard, ATVID,NASDAQ
Activision Blizzard Inc, ATVI,NASDAQ
